cycle,t,rst_n,enable,I,O,success
0,5000,0,0,0,0,0
1,15000,0,0,0,0,0
2,25000,0,0,0,0,0
3,35000,1,0,0,0,0
4,45000,1,1,0,0,0
5,55000,1,1,0,0,0
6,65000,1,1,1,0,0
7,75000,1,1,0,0,0
8,85000,1,1,1,0,0
9,95000,1,1,0,0,0
10,105000,1,1,1,0,0
11,115000,1,1,0,0,0
12,125000,1,1,0,0,0
13,135000,1,1,0,0,0
14,145000,1,1,0,0,0
15,155000,1,1,0,0,0
16,165000,1,1,0,0,0
17,175000,1,1,0,0,0
18,185000,1,1,1,0,0
19,195000,1,1,0,0,0
20,205000,1,1,1,0,0
21,215000,1,1,1,0,0
22,225000,1,1,0,0,0
23,235000,1,1,0,0,0
24,245000,1,1,0,0,0
25,255000,1,1,0,0,0
26,265000,1,1,1,0,0
27,275000,1,1,0,0,0
28,285000,1,1,1,0,0
29,295000,1,1,0,0,0
30,305000,1,1,0,0,0
31,315000,1,1,1,0,0
32,325000,1,1,1,0,0
33,335000,1,1,0,0,0
34,345000,1,1,0,0,0
35,355000,1,1,0,0,0
36,365000,1,1,0,0,0
37,375000,1,1,0,0,0
38,385000,1,1,0,0,0
39,395000,1,1,0,0,0
40,405000,1,1,0,0,0
41,415000,1,1,0,0,0
42,425000,1,1,1,0,0
43,435000,1,1,0,0,0
44,445000,1,1,0,0,0
45,455000,1,1,0,0,0
46,465000,1,1,0,0,0
47,475000,1,1,0,0,0
48,485000,1,1,0,0,0
49,495000,1,1,1,0,0
50,505000,1,1,1,0,0
51,515000,1,1,1,0,0
52,525000,1,1,0,0,0
53,535000,1,1,1,0,0
54,545000,1,1,1,0,0
55,555000,1,1,0,0,0
56,565000,1,1,0,0,0
57,575000,1,1,0,0,0
58,585000,1,1,0,0,0
59,595000,1,1,1,0,0
60,605000,1,1,0,0,0
61,615000,1,1,0,0,0
62,625000,1,1,1,0,0
63,635000,1,1,0,0,0
64,645000,1,1,1,0,0
65,655000,1,1,1,0,0
66,665000,1,1,0,0,0
67,675000,1,1,0,0,0
68,685000,1,1,0,0,0
69,695000,1,1,0,0,0
70,705000,1,1,1,0,0
71,715000,1,1,1,0,0
72,725000,1,1,1,0,0
73,735000,1,1,0,0,0
74,745000,1,1,0,0,0
75,755000,1,1,1,0,0
76,765000,1,1,1,0,0
77,775000,1,1,0,0,0
78,785000,1,1,0,0,0
79,795000,1,1,0,0,0
80,805000,1,1,0,0,0
81,815000,1,1,0,0,0
82,825000,1,1,0,0,0
83,835000,1,1,0,0,0
84,845000,1,1,1,0,0
85,855000,1,1,0,0,0
86,865000,1,1,1,0,0
87,875000,1,1,1,0,0
88,885000,1,1,0,0,0
89,895000,1,1,0,0,0
90,905000,1,1,0,0,0
91,915000,1,1,0,0,0
92,925000,1,1,0,0,0
93,935000,1,1,0,0,0
94,945000,1,1,1,0,0
95,955000,1,1,0,0,0
96,965000,1,1,1,0,0
97,975000,1,1,1,0,0
98,985000,1,1,1,0,0
99,995000,1,1,0,0,0
100,1005000,1,1,0,0,0
101,1015000,1,1,0,0,0
102,1025000,1,1,0,0,0
103,1035000,1,1,0,0,0
104,1045000,1,1,0,0,0
105,1055000,1,1,0,0,0
106,1065000,1,1,0,0,0
107,1075000,1,1,0,0,0
108,1085000,1,1,1,0,0
109,1095000,1,1,0,0,0
110,1105000,1,1,0,0,0
111,1115000,1,1,0,0,0
112,1125000,1,1,0,0,0
113,1135000,1,1,0,0,0
114,1145000,1,1,1,0,0
115,1155000,1,1,1,0,0
116,1165000,1,1,0,0,0
117,1175000,1,1,0,0,0
118,1185000,1,1,1,0,0
119,1195000,1,1,1,0,0
120,1205000,1,1,1,0,0
121,1215000,1,1,0,0,0
122,1225000,1,1,0,0,0
123,1235000,1,1,0,0,0
124,1245000,1,1,0,0,0
125,1255000,1,0,0,1010100,0
126,1265000,1,0,0,1010010,0
127,1275000,1,0,0,1011001,0
128,1285000,1,0,0,100000,0
129,1295000,1,0,0,1000001,0
130,1305000,1,0,0,1000111,0
131,1315000,1,0,0,1000001,0
132,1325000,1,0,0,1001001,0
133,1335000,1,0,0,1001110,0
134,1345000,1,0,0,0,0
135,1355000,1,0,0,0,0
136,1365000,1,0,0,0,0
137,1375000,1,0,0,0,0
138,1385000,1,0,0,0,0
139,1395000,1,0,0,0,0
140,1405000,1,0,0,0,0
141,1415000,1,0,0,0,0
142,1425000,1,0,0,0,0
143,1435000,1,0,0,0,0
144,1445000,1,0,0,0,0
145,1455000,1,0,0,0,0
146,1465000,1,0,0,0,0
147,1475000,1,0,0,0,0
148,1485000,1,0,0,0,0
149,1495000,1,0,0,0,0
150,1505000,1,0,0,0,0
151,1515000,1,0,0,0,0
152,1525000,1,0,0,0,0
153,1535000,1,0,0,0,0
154,1545000,1,0,0,0,0
155,1555000,1,0,0,0,0
156,1565000,0,0,0,0,0
157,1575000,0,0,0,0,0
158,1585000,0,0,0,0,0
159,1595000,1,0,0,0,0
160,1605000,1,1,1,0,0
161,1615000,1,1,1,0,0
162,1625000,1,1,0,0,0
163,1635000,1,1,1,0,0
164,1645000,1,1,0,0,0
165,1655000,1,1,1,0,0
166,1665000,1,1,1,0,0
167,1675000,1,1,0,0,0
168,1685000,1,1,0,0,0
169,1695000,1,1,0,0,0
170,1705000,1,1,0,0,0
171,1715000,1,1,1,0,0
172,1725000,1,1,0,0,0
173,1735000,1,1,0,0,0
174,1745000,1,1,1,0,0
175,1755000,1,1,1,0,0
176,1765000,1,1,1,0,0
177,1775000,1,1,1,0,0
178,1785000,1,1,0,0,0
179,1795000,1,1,0,0,0
180,1805000,1,1,0,0,0
181,1815000,1,1,0,0,0
182,1825000,1,1,0,0,0
183,1835000,1,1,0,0,0
184,1845000,1,1,0,0,0
185,1855000,1,1,0,0,0
186,1865000,1,1,0,0,0
187,1875000,1,1,1,0,0
188,1885000,1,1,0,0,0
189,1895000,1,1,0,0,0
190,1905000,1,1,0,0,0
191,1915000,1,1,0,0,0
192,1925000,1,1,0,0,0
193,1935000,1,1,1,0,0
194,1945000,1,1,0,0,0
195,1955000,1,1,0,0,0
196,1965000,1,1,0,0,0
197,1975000,1,1,0,0,0
198,1985000,1,1,1,0,0
199,1995000,1,1,1,0,0
200,2005000,1,1,0,0,0
201,2015000,1,1,0,0,0
202,2025000,1,1,0,0,0
203,2035000,1,1,0,0,0
204,2045000,1,1,1,0,0
205,2055000,1,1,1,0,0
206,2065000,1,1,1,0,0
207,2075000,1,1,0,0,0
208,2085000,1,1,1,0,0
209,2095000,1,1,1,0,0
210,2105000,1,1,1,0,0
211,2115000,1,1,0,0,0
212,2125000,1,1,0,0,0
213,2135000,1,1,0,0,0
214,2145000,1,1,0,0,0
215,2155000,1,1,1,0,0
216,2165000,1,1,0,0,0
217,2175000,1,1,0,0,0
218,2185000,1,1,0,0,0
219,2195000,1,1,0,0,0
220,2205000,1,1,1,0,0
221,2215000,1,1,1,0,0
222,2225000,1,1,0,0,0
223,2235000,1,1,0,0,0
224,2245000,1,1,0,0,0
225,2255000,1,1,0,0,0
226,2265000,1,1,1,0,0
227,2275000,1,1,0,0,0
228,2285000,1,1,0,0,0
229,2295000,1,1,1,0,0
230,2305000,1,1,0,0,0
231,2315000,1,1,1,0,0
232,2325000,1,1,1,0,0
233,2335000,1,1,0,0,0
234,2345000,1,1,0,0,0
235,2355000,1,1,0,0,0
236,2365000,1,1,0,0,0
237,2375000,1,1,0,0,0
238,2385000,1,1,0,0,0
239,2395000,1,1,1,0,0
240,2405000,1,1,0,0,0
241,2415000,1,1,1,0,0
242,2425000,1,1,1,0,0
243,2435000,1,1,1,0,0
244,2445000,1,1,0,0,0
245,2455000,1,1,0,0,0
246,2465000,1,1,0,0,0
247,2475000,1,1,0,0,0
